"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 29, 2021","1,949.48","1,952.43","1,953.95","1,942.72","1.03B","-0.82%"
"Jun 28, 2021","1,965.67","1,969.23","1,969.67","1,961.53","870.73M","0.15%"
"Jun 25, 2021","1,962.65","1,963.85","1,965.32","1,955.17","904.26M","0.80%"
"Jun 24, 2021","1,947.10","1,944.88","1,950.72","1,940.93","842.48M","-0.10%"
"Jun 23, 2021","1,949.14","1,954.88","1,962.35","1,949.14","944.36M","-0.53%"
"Jun 22, 2021","1,959.53","1,932.73","1,959.84","1,930.99","1.17B","3.16%"
"Jun 21, 2021","1,899.45","1,917.07","1,918.67","1,890.15","1.30B","-2.42%"
"Jun 18, 2021","1,946.56","1,963.28","1,963.28","1,945.86","1.51B","-0.87%"
"Jun 17, 2021","1,963.57","1,971.93","1,975.71","1,959.28","997.59M","-0.62%"
"Jun 16, 2021","1,975.86","1,972.44","1,983.13","1,971.27","1.03B","0.02%"
"Jun 15, 2021","1,975.48","1,963.74","1,976.50","1,961.28","972.79M","0.80%"
"Jun 14, 2021","1,959.75","1,966.13","1,969.46","1,955.24","854.23M","0.29%"
"Jun 11, 2021","1,954.02","1,957.36","1,959.71","1,944.66","1.22B","-0.14%"
"Jun 10, 2021","1,956.73","1,951.56","1,962.31","1,948.84","1.03B","-0.02%"
"Jun 09, 2021","1,957.14","1,960.58","1,963.69","1,955.89","994.45M","-0.28%"
"Jun 08, 2021","1,962.65","1,958.96","1,968.66","1,956.45","928.66M","0.09%"
"Jun 07, 2021","1,960.85","1,969.62","1,970.72","1,956.58","945.92M","0.08%"
"Jun 04, 2021","1,959.19","1,953.42","1,960.17","1,946.48","1.06B","0.03%"
"Jun 03, 2021","1,958.70","1,942.79","1,966.09","1,942.79","1.09B","0.84%"
"Jun 02, 2021","1,942.33","1,930.06","1,946.67","1,916.84","1.25B","0.84%"
"Jun 01, 2021","1,926.18","1,930.74","1,933.59","1,912.61","907.47M","0.17%"
"May 31, 2021","1,922.98","1,940.13","1,944.94","1,919.78","1.02B","-1.26%"
"May 28, 2021","1,947.44","1,933.86","1,949.28","1,933.86","1.36B","1.91%"
"May 27, 2021","1,911.02","1,914.46","1,919.22","1,907.63","2.40B","-0.50%"
