"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 08, 2021","17,895.20","17,886.85","17,941.85","17,840.35","324.07B","0.59%"
"Oct 07, 2021","17,790.35","17,810.55","17,857.55","17,763.80","419.89B","0.82%"
"Oct 06, 2021","17,646.00","17,861.50","17,884.60","17,613.15","395.83B","-0.99%"
"Oct 05, 2021","17,822.30","17,661.35","17,833.45","17,640.90","427.00B","0.74%"
"Oct 04, 2021","17,691.25","17,615.55","17,750.90","17,581.35","295.76B","0.91%"
"Oct 01, 2021","17,532.05","17,531.90","17,557.15","17,452.90","305.76B","-0.49%"
"Sep 30, 2021","17,618.15","17,718.90","17,742.15","17,585.35","378.59B","-0.53%"
"Sep 29, 2021","17,711.30","17,657.95","17,781.75","17,608.15","562.24B","-0.21%"
"Sep 28, 2021","17,748.60","17,906.45","17,912.85","17,576.10","398.00B","-0.60%"
"Sep 27, 2021","17,855.10","17,932.20","17,943.50","17,802.90","295.71B","0.01%"
"Sep 24, 2021","17,853.20","17,897.45","17,947.65","17,819.40","360.13B","0.17%"
"Sep 23, 2021","17,822.95","17,670.85","17,843.90","17,646.55","320.51B","1.57%"
"Sep 22, 2021","17,546.65","17,580.90","17,610.45","17,524.00","295.19B","-0.09%"
"Sep 21, 2021","17,562.00","17,450.50","17,578.35","17,326.10","363.58B","0.95%"
"Sep 20, 2021","17,396.90","17,443.85","17,622.75","17,361.80","339.10B","-1.07%"
"Sep 17, 2021","17,585.15","17,709.65","17,792.95","17,537.65","508.29B","-0.25%"
"Sep 16, 2021","17,629.50","17,539.20","17,644.60","17,510.45","503.31B","0.63%"
"Sep 15, 2021","17,519.45","17,387.65","17,532.70","17,386.90","388.19B","0.80%"
"Sep 14, 2021","17,380.00","17,420.35","17,438.55","17,367.05","230.35B","0.14%"
"Sep 13, 2021","17,355.30","17,363.55","17,378.35","17,269.15","241.05B","-0.08%"
"Sep 09, 2021","17,369.25","17,312.85","17,379.65","17,302.70","241.51B","0.09%"
"Sep 08, 2021","17,353.50","17,375.75","17,383.40","17,254.20","252.65B","-0.05%"
"Sep 07, 2021","17,362.10","17,401.55","17,436.50","17,287.00","243.42B","-0.09%"
"Sep 06, 2021","17,377.80","17,399.35","17,429.55","17,345.55","228.05B","0.31%"
"Sep 03, 2021","17,323.60","17,262.45","17,340.10","17,212.20","261.37B","0.52%"
"Sep 02, 2021","17,234.15","17,095.40","17,245.50","17,059.70","242.38B","0.92%"
"Sep 01, 2021","17,076.25","17,185.60","17,225.75","17,055.05","301.89B","-0.33%"
"Aug 31, 2021","17,132.20","16,947.50","17,153.50","16,915.85","464.39B","1.19%"
"Aug 30, 2021","16,931.05","16,775.85","16,951.50","16,764.85","283.48B","1.35%"
"Aug 27, 2021","16,705.20","16,642.55","16,722.05","16,565.60","217.41B","0.41%"
"Aug 26, 2021","16,636.90","16,627.95","16,683.70","16,603.40","253.53B","0.01%"
"Aug 25, 2021","16,634.65","16,654.00","16,712.45","16,617.50","265.92B","0.06%"
"Aug 24, 2021","16,624.60","16,561.40","16,647.10","16,495.30","275.36B","0.78%"
"Aug 23, 2021","16,496.45","16,592.25","16,592.50","16,395.70","275.60B","0.28%"
"Aug 20, 2021","16,450.50","16,382.50","16,509.55","16,376.05","350.82B","-0.71%"
"Aug 18, 2021","16,568.85","16,691.95","16,701.85","16,535.85","251.80B","-0.28%"
"Aug 17, 2021","16,614.60","16,545.25","16,628.55","16,495.40","297.39B","0.31%"
"Aug 16, 2021","16,563.05","16,518.40","16,589.40","16,480.75","254.05B","0.21%"
"Aug 13, 2021","16,529.10","16,385.70","16,543.60","16,376.30","321.87B","1.01%"
"Aug 12, 2021","16,364.40","16,303.65","16,375.50","16,286.90","280.18B","0.50%"
"Aug 11, 2021","16,282.25","16,327.30","16,338.75","16,162.55","277.90B","0.01%"
"Aug 10, 2021","16,280.10","16,274.80","16,359.25","16,202.25","287.99B","0.13%"
"Aug 09, 2021","16,258.25","16,281.35","16,320.75","16,179.05","240.45B","0.12%"
"Aug 06, 2021","16,238.20","16,304.40","16,336.75","16,223.30","320.09B","-0.35%"
"Aug 05, 2021","16,294.60","16,288.95","16,349.45","16,210.30","418.17B","0.22%"
"Aug 04, 2021","16,258.80","16,195.25","16,290.20","16,176.15","427.34B","0.79%"
"Aug 03, 2021","16,130.75","15,951.55","16,146.90","15,914.35","341.29B","1.55%"
"Aug 02, 2021","15,885.15","15,874.90","15,892.90","15,834.65","244.85B","0.77%"
"Jul 30, 2021","15,763.05","15,800.60","15,862.80","15,744.85","400.02B","-0.10%"
"Jul 29, 2021","15,778.45","15,762.70","15,817.35","15,737.80","401.58B","0.44%"
"Jul 28, 2021","15,709.40","15,761.55","15,767.50","15,513.45","318.60B","-0.24%"
