"","Date","Price","Open","High","Low","Vol.","Change..","date","new_cases","new_deaths","location","new_vaccinations","new_tests","population","population_density","Price_mul30"
"247","Mar 17, 2021",6795.2,"6,827.10","6,827.10","6,761.40","603.82M","-0.47%",2021-03-17,12,0,"Australia",22500,54260,25788217,3.202,203856
"246","Mar 18, 2021",6745.9,"6,795.20","6,806.20","6,744.50","715.60M","-0.73%",2021-03-18,17,0,"Australia",14697,50496,25788217,3.202,202377
"245","Mar 19, 2021",6708.2,"6,745.90","6,745.90","6,673.70","1.25B","-0.56%",2021-03-19,9,0,"Australia",13077,44082,25788217,3.202,201246
"244","Mar 22, 2021",6752.5,"6,708.20","6,763.40","6,688.20","472.04M","0.66%",2021-03-22,5,0,"Australia",30542,30548,25788217,3.202,202575
"243","Mar 23, 2021",6745.4,"6,752.50","6,786.20","6,741.30","518.77M","-0.11%",2021-03-23,10,0,"Australia",46000,29572,25788217,3.202,202362
"242","Mar 24, 2021",6778.8,"6,745.40","6,799.10","6,735.60","503.00M","0.50%",2021-03-24,9,0,"Australia",49908,47726,25788217,3.202,203364
"241","Mar 25, 2021",6790.6,"6,778.80","6,806.00","6,769.90","558.91M","0.17%",2021-03-25,9,0,"Australia",51745,39005,25788217,3.202,203718
"240","Mar 26, 2021",6824.2,"6,790.60","6,835.00","6,790.60","571.46M","0.49%",2021-03-26,13,0,"Australia",46310,38818,25788217,3.202,204726
"239","Mar 29, 2021",6799.5,"6,824.20","6,860.60","6,794.10","502.07M","-0.36%",2021-03-29,20,0,"Australia",55764,45086,25788217,3.202,203985
"238","Mar 30, 2021",6738.4,"6,799.50","6,836.30","6,738.40","513.84M","-0.90%",2021-03-30,8,0,"Australia",72826,44989,25788217,3.202,202152
"237","Mar 31, 2021",6790.7,"6,738.40","6,862.60","6,738.40","717.60M","0.78%",2021-03-31,18,0,"Australia",73979,84676,25788217,3.202,203721
"236","Apr 01, 2021",6828.7,"6,790.70","6,830.40","6,783.30","473.19M","0.56%",2021-04-01,11,0,"Australia",79283,85667,25788217,3.202,204861
"235","Apr 06, 2021",6885.9,"6,828.70","6,915.70","6,828.70","517.51M","0.84%",2021-04-06,14,0,"Australia",65351,28581,25788217,3.202,206577
"234","Apr 07, 2021",6928,"6,885.90","6,933.90","6,885.90","612.67M","0.61%",2021-04-07,6,0,"Australia",75880,32561,25788217,3.202,207840
"233","Apr 08, 2021",6998.8,"6,928.00","7,012.40","6,928.00","544.99M","1.02%",2021-04-08,5,0,"Australia",81297,44549,25788217,3.202,209964
"232","Apr 09, 2021",6995.2,"6,998.80","6,998.80","6,965.50","425.91M","-0.05%",2021-04-09,6,0,"Australia",61355,50988,25788217,3.202,209856
"231","Apr 12, 2021",6974,"6,996.70","6,996.70","6,957.40","405.10M","-0.30%",2021-04-12,10,1,"Australia",56379,32317,25788217,3.202,209220
"230","Apr 13, 2021",6976.9,"6,974.00","6,998.00","6,962.90","507.31M","0.04%",2021-04-13,21,0,"Australia",60991,28512,25788217,3.202,209307
