"","Date","Price","Open","High","Low","Vol.","Change..","date","new_cases","new_deaths","location","new_vaccinations","new_tests","population","population_density","Price_mul30"
"95","Oct 26, 2021",7443.4,"7,441.00","7,471.30","7,439.20","517.77M","0.03%",2021-10-26,1850,16,"Australia",224311,149428,25788217,3.202,223302
"94","Oct 27, 2021",7448.7,"7,443.40","7,473.90","7,419.70","596.69M","0.07%",2021-10-27,2038,27,"Australia",217681,195419,25788217,3.202,223461
"93","Oct 28, 2021",7430.4,"7,448.70","7,448.70","7,404.60","578.21M","-0.25%",2021-10-28,1886,12,"Australia",223461,191835,25788217,3.202,222912
"92","Oct 29, 2021",7323.7,"7,430.40","7,447.00","7,318.80","695.89M","-1.44%",2021-10-29,1589,14,"Australia",206993,173166,25788217,3.202,219711
"91","Nov 01, 2021",7370.8,"7,323.70","7,388.30","7,323.70","612.05M","0.64%",2021-11-01,1135,13,"Australia",222150,126983,25788217,3.202,221124
"90","Nov 02, 2021",7324.3,"7,370.80","7,395.90","7,311.60","491.50M","-0.63%",2021-11-02,1111,12,"Australia",164592,125068,25788217,3.202,219729
"89","Nov 03, 2021",7392.7,"7,324.30","7,431.60","7,324.30","587.77M","0.93%",2021-11-03,1537,13,"Australia",194829,201945,25788217,3.202,221781
"88","Nov 04, 2021",7428,"7,392.70","7,428.00","7,392.70","658.11M","0.48%",2021-11-04,1580,14,"Australia",194415,160355,25788217,3.202,222840
"87","Nov 05, 2021",7456.9,"7,428.00","7,477.20","7,424.40","568.02M","0.39%",2021-11-05,1534,10,"Australia",197031,170379,25788217,3.202,223707
"86","Nov 08, 2021",7452.2,"7,456.90","7,474.30","7,433.40","581.05M","-0.06%",2021-11-08,1292,14,"Australia",155259,122014,25788217,3.202,223566
"85","Nov 09, 2021",7434.2,"7,452.20","7,468.60","7,434.20","609.74M","-0.24%",2021-11-09,1201,17,"Australia",149289,136463,25788217,3.202,223026
"84","Nov 10, 2021",7423.9,"7,434.20","7,460.50","7,411.90","549.06M","-0.14%",2021-11-10,1556,4,"Australia",153985,191821,25788217,3.202,222717
"83","Nov 11, 2021",7381.9,"7,423.90","7,423.90","7,329.50","601.08M","-0.57%",2021-11-11,1414,11,"Australia",161921,169608,25788217,3.202,221457
"82","Nov 12, 2021",7443,"7,381.90","7,465.80","7,381.90","572.67M","0.83%",2021-11-12,1452,4,"Australia",160104,167736,25788217,3.202,223290
"81","Nov 15, 2021",7470.1,"7,443.00","7,479.10","7,437.90","499.12M","0.36%",2021-11-15,1014,10,"Australia",140126,119223,25788217,3.202,224103
"80","Nov 16, 2021",7420.4,"7,470.10","7,470.10","7,403.50","626.13M","-0.67%",2021-11-16,1228,9,"Australia",136366,144221,25788217,3.202,222612
"79","Nov 17, 2021",7369.9,"7,420.40","7,431.10","7,342.90","626.09M","-0.68%",2021-11-17,1267,15,"Australia",128398,184546,25788217,3.202,221097
"78","Nov 18, 2021",7379.2,"7,369.90","7,398.20","7,343.80","634.51M","0.13%",2021-11-18,1505,11,"Australia",127813,176483,25788217,3.202,221376
"77","Nov 19, 2021",7396.5,"7,379.20","7,404.90","7,376.00","525.25M","0.23%",2021-11-19,1360,5,"Australia",120321,172738,25788217,3.202,221895
"76","Nov 22, 2021",7353.1,"7,396.50","7,396.50","7,337.00","486.26M","-0.59%",2021-11-22,1002,20,"Australia",142490,119615,25788217,3.202,220593
"75","Nov 23, 2021",7410.6,"7,353.10","7,416.60","7,353.10","606.30M","0.78%",2021-11-23,1464,5,"Australia",108657,120302,25788217,3.202,222318
"74","Nov 24, 2021",7399.4,"7,410.60","7,425.00","7,381.80","595.33M","-0.15%",2021-11-24,1527,5,"Australia",105772,183383,25788217,3.202,221982
"73","Nov 25, 2021",7407.3,"7,399.40","7,412.70","7,373.70","597.77M","0.11%",2021-11-25,1627,7,"Australia",105906,174186,25788217,3.202,222219
"72","Nov 26, 2021",7279.3,"7,407.30","7,407.30","7,260.30","577.17M","-1.73%",2021-11-26,1480,5,"Australia",104321,180767,25788217,3.202,218379
"71","Nov 29, 2021",7239.8,"7,279.30","7,279.30","7,180.30","817.95M","-0.54%",2021-11-29,1099,9,"Australia",95215,123218,25788217,3.202,217194
"70","Nov 30, 2021",7256,"7,239.80","7,332.60","7,239.80","1.12B","0.22%",2021-11-30,1417,5,"Australia",92151,128373,25788217,3.202,217680
"69","Dec 01, 2021",7235.9,"7,256.00","7,262.30","7,183.40","654.05M","-0.28%",2021-12-01,1702,10,"Australia",92675,187923,25788217,3.202,217077
"68","Dec 02, 2021",7225.2,"7,235.90","7,239.70","7,168.90","652.44M","-0.15%",2021-12-02,1522,12,"Australia",98936,177193,25788217,3.202,216756
"67","Dec 03, 2021",7241.2,"7,225.20","7,288.20","7,211.50","631.36M","0.22%",2021-12-03,1708,9,"Australia",98274,184165,25788217,3.202,217236
"66","Dec 06, 2021",7245.1,"7,241.20","7,257.90","7,207.80","650.43M","0.05%",2021-12-06,1434,9,"Australia",86815,148163,25788217,3.202,217353
"65","Dec 07, 2021",7313.9,"7,245.10","7,326.10","7,245.10","601.67M","0.95%",2021-12-07,1705,7,"Australia",88333,153592,25788217,3.202,219417
"64","Dec 08, 2021",7405.4,"7,313.90","7,443.40","7,313.90","675.57M","1.25%",2021-12-08,1654,10,"Australia",95133,207445,25788217,3.202,222162
"63","Dec 09, 2021",7384.5,"7,405.40","7,418.30","7,377.70","542.21M","-0.28%",2021-12-09,1711,2,"Australia",96554,189466,25788217,3.202,221535
"62","Dec 10, 2021",7353.5,"7,384.50","7,384.50","7,336.70","599.53M","-0.42%",2021-12-10,1757,16,"Australia",86258,189327,25788217,3.202,220605
"61","Dec 13, 2021",7379.3,"7,353.50","7,417.70","7,353.50","452.15M","0.35%",2021-12-13,1970,7,"Australia",153523,163838,25788217,3.202,221379
"60","Dec 14, 2021",7378.4,"7,379.30","7,393.50","7,341.30","581.39M","-0.01%",2021-12-14,2809,4,"Australia",161527,178487,25788217,3.202,221352
"59","Dec 15, 2021",7327.1,"7,378.40","7,378.40","7,325.70","514.72M","-0.70%",2021-12-15,3423,9,"Australia",183047,222651,25788217,3.202,219813
"58","Dec 16, 2021",7295.7,"7,327.10","7,334.50","7,277.10","787.43M","-0.43%",2021-12-16,3802,8,"Australia",198405,268541,25788217,3.202,218871
"57","Dec 17, 2021",7304,"7,295.70","7,350.30","7,295.70","1.22B","0.11%",2021-12-17,4017,8,"Australia",208631,252745,25788217,3.202,219120
"56","Dec 20, 2021",7292.2,"7,304.00","7,304.00","7,257.80","543.60M","-0.16%",2021-12-20,4492,8,"Australia",194274,273977,25788217,3.202,218766
"55","Dec 21, 2021",7355,"7,292.20","7,358.30","7,287.30","571.41M","0.86%",2021-12-21,5531,8,"Australia",206796,270702,25788217,3.202,220650
"54","Dec 22, 2021",7364.8,"7,355.00","7,374.50","7,333.00","539.85M","0.13%",2021-12-22,8357,11,"Australia",215290,310301,25788217,3.202,220944
"53","Dec 23, 2021",7387.6,"7,364.80","7,404.20","7,363.60","390.03M","0.31%",2021-12-23,8218,9,"Australia",192352,319186,25788217,3.202,221628
"52","Dec 24, 2021",7420.3,"7,387.60","7,435.90","7,387.60","230.00M","0.44%",2021-12-24,9855,6,"Australia",0,321830,25788217,3.202,222609
"51","Dec 29, 2021",7509.8,"7,420.30","7,518.40","7,420.30","428.61M","1.21%",2021-12-29,21369,14,"Australia",148570,301897,25788217,3.202,225294
"50","Dec 30, 2021",7513.4,"7,509.80","7,520.60","7,499.50","365.35M","0.05%",2021-12-30,33811,15,"Australia",159880,267028,25788217,3.202,225402
"49","Dec 31, 2021",7444.6,"7,513.40","7,515.30","7,444.60","272.41M","-0.92%",2021-12-31,30363,14,"Australia",0,255441,25788217,3.202,223338
"48","Jan 04, 2022",7589.8,"7,444.60","7,594.70","7,444.60","503.96M","1.95%",2022-01-04,71495,20,"Australia",211902,212046,25788217,3.202,227694
"47","Jan 05, 2022",7565.8,"7,589.80","7,620.20","7,563.40","472.27M","-0.32%",2022-01-05,75426,12,"Australia",261562,219727,25788217,3.202,226974
"46","Jan 06, 2022",7358.3,"7,565.80","7,565.80","7,340.40","623.92M","-2.74%",2022-01-06,78229,19,"Australia",272293,248366,25788217,3.202,220749
"45","Jan 07, 2022",7453.3,"7,358.30","7,484.60","7,358.30","469.08M","1.29%",2022-01-07,98092,16,"Australia",265220,258550,25788217,3.202,223599
"44","Jan 10, 2022",7447.1,"7,453.30","7,460.20","7,409.90","410.07M","-0.08%",2022-01-10,93806,28,"Australia",287855,221101,25788217,3.202,223413
"43","Jan 11, 2022",7390.1,"7,447.10","7,447.10","7,376.80","549.65M","-0.77%",2022-01-11,84408,50,"Australia",326257,215158,25788217,3.202,221703
"42","Jan 12, 2022",7438.9,"7,390.10","7,467.50","7,390.10","569.40M","0.66%",2022-01-12,175271,57,"Australia",345035,288897,25788217,3.202,223167
"41","Jan 13, 2022",7474.4,"7,438.90","7,487.30","7,438.90","605.24M","0.48%",2022-01-13,128185,50,"Australia",345598,219303,25788217,3.202,224232
"40","Jan 14, 2022",7393.9,"7,474.40","7,474.40","7,386.80","619.98M","-1.08%",2022-01-14,86288,49,"Australia",337813,252188,25788217,3.202,221817
"39","Jan 17, 2022",7417.3,"7,393.90","7,429.30","7,385.80","472.82M","0.32%",2022-01-17,84355,81,"Australia",327447,199188,25788217,3.202,222519
"38","Jan 18, 2022",7408.8,"7,417.30","7,445.10","7,398.20","549.27M","-0.11%",2022-01-18,84615,70,"Australia",320525,165245,25788217,3.202,222264
"37","Jan 19, 2022",7332.5,"7,408.80","7,408.80","7,325.70","697.49M","-1.03%",2022-01-19,67604,47,"Australia",331186,213047,25788217,3.202,219975
"36","Jan 20, 2022",7342.4,"7,332.50","7,354.60","7,298.50","684.95M","0.14%",2022-01-20,63941,88,"Australia",351226,186541,25788217,3.202,220272
"35","Jan 21, 2022",7175.8,"7,342.40","7,342.40","7,153.30","910.99M","-2.27%",2022-01-21,43166,65,"Australia",334030,187145,25788217,3.202,215274
"34","Jan 24, 2022",7139.5,"7,173.70","7,173.70","7,086.80","760.46M","-0.51%",2022-01-24,58022,82,"Australia",320356,110638,25788217,3.202,214185
"33","Jan 25, 2022",6961.6,"7,139.50","7,139.50","6,920.70","1.10B","-2.49%",2022-01-25,52920,69,"Australia",321385,134310,25788217,3.202,208848
"32","Jan 27, 2022",6838.3,"6,961.60","7,042.80","6,758.20","1.18B","-1.77%",2022-01-27,66223,87,"Australia",303363,140456,25788217,3.202,205149
"31","Jan 28, 2022",6988.1,"6,838.30","7,000.00","6,837.90","2.09B","2.19%",2022-01-28,65980,155,"Australia",306420,102759,25788217,3.202,209643
"30","Feb 07, 2022",7110.8,"7,120.20","7,128.30","7,046.50","617.94M","-0.13%",2022-02-07,27373,54,"Australia",215669,82525,25788217,3.202,213324
"29","Feb 08, 2022",7186.7,"7,110.80","7,203.00","7,110.80","771.03M","1.07%",2022-02-08,31510,71,"Australia",219558,86132,25788217,3.202,215601
"28","Feb 09, 2022",7268.3,"7,186.70","7,268.30","7,183.00","978.75M","1.14%",2022-02-09,11483,49,"Australia",213814,113891,25788217,3.202,218049
"27","Feb 10, 2022",7288.5,"7,268.30","7,336.60","7,260.80","886.64M","0.28%",2022-02-10,31250,57,"Australia",201007,94636,25788217,3.202,218655
"26","Feb 11, 2022",7217.3,"7,288.50","7,294.40","7,191.80","629.39M","-0.98%",2022-02-11,22564,64,"Australia",202409,100310,25788217,3.202,216519
"25","Feb 14, 2022",7243.9,"7,217.30","7,263.60","7,181.70","749.35M","0.37%",2022-02-14,30913,60,"Australia",166577,67597,25788217,3.202,217317
"24","Feb 15, 2022",7206.9,"7,243.90","7,251.40","7,198.00","730.13M","-0.51%",2022-02-15,24394,62,"Australia",160237,57711,25788217,3.202,216207
"23","Feb 23, 2022",7205.7,"7,161.30","7,205.70","7,145.40","788.38M","0.62%",2022-02-23,24852,37,"Australia",123985,100703,25788217,3.202,216171
"22","Feb 24, 2022",6990.6,"7,205.70","7,205.70","6,959.30","1.11B","-2.99%",2022-02-24,26670,33,"Australia",123136,89532,25788217,3.202,209718
"21","Feb 25, 2022",6997.8,"6,990.60","7,045.60","6,974.90","888.81M","0.10%",2022-02-25,19803,36,"Australia",121620,100549,25788217,3.202,209934
"20","Feb 28, 2022",7049.1,"6,997.80","7,049.60","6,979.40","1.01B","0.73%",2022-02-28,25418,39,"Australia",102040,58369,25788217,3.202,211473
"19","Mar 01, 2022",7096.5,"7,049.10","7,159.90","7,049.10","812.87M","0.67%",2022-03-01,21755,59,"Australia",90001,69785,25788217,3.202,212895
"18","Mar 02, 2022",7116.7,"7,096.50","7,121.50","7,041.90","941.03M","0.28%",2022-03-02,40012,47,"Australia",86384,98154,25788217,3.202,213501
"17","Mar 03, 2022",7151.4,"7,116.70","7,198.10","7,116.70","856.24M","0.49%",2022-03-03,25159,38,"Australia",85961,94936,25788217,3.202,214542
"16","Mar 04, 2022",7110.8,"7,151.40","7,151.40","7,025.20","972.29M","-0.57%",2022-03-04,22716,48,"Australia",90681,92085,25788217,3.202,213324
"15","Mar 07, 2022",7038.6,"7,110.80","7,133.70","7,010.50","1.02B","-1.02%",2022-03-07,44962,39,"Australia",77637,65021,25788217,3.202,211158
"14","Mar 08, 2022",6980.3,"7,038.60","7,053.50","6,980.30","973.85M","-0.83%",2022-03-08,30691,31,"Australia",89302,71498,25788217,3.202,209409
"13","Mar 09, 2022",7053,"6,980.30","7,072.00","6,968.90","1.04B","1.04%",2022-03-09,36335,25,"Australia",90219,99999,25788217,3.202,211590
"12","Mar 10, 2022",7130.8,"7,053.00","7,161.00","7,039.70","976.57M","1.10%",2022-03-10,31689,30,"Australia",92674,94108,25788217,3.202,213924
"11","Mar 11, 2022",7063.6,"7,130.80","7,151.40","7,051.20","816.85M","-0.94%",2022-03-11,35077,21,"Australia",106393,110525,25788217,3.202,211908
"10","Mar 14, 2022",7149.4,"7,063.60","7,149.40","7,063.60","599.30M","1.21%",2022-03-14,28803,25,"Australia",73534,69645,25788217,3.202,214482
"9","Mar 15, 2022",7097.4,"7,149.40","7,149.40","7,080.70","788.37M","-0.73%",2022-03-15,54309,23,"Australia",96012,77557,25788217,3.202,212922
"8","Mar 16, 2022",7175.2,"7,097.40","7,180.20","7,097.40","701.73M","1.10%",2022-03-16,57148,24,"Australia",92558,102020,25788217,3.202,215256
"7","Mar 17, 2022",7250.8,"7,175.20","7,296.80","7,175.20","831.38M","1.05%",2022-03-17,49166,29,"Australia",91189,121039,25788217,3.202,217524
"6","Mar 18, 2022",7294.4,"7,250.80","7,294.40","7,245.90","1.54B","0.60%",2022-03-18,46952,31,"Australia",99204,101292,25788217,3.202,218832
"5","Mar 21, 2022",7278.5,"7,294.40","7,350.40","7,278.50","561.98M","-0.22%",2022-03-21,53063,27,"Australia",86498,81698,25788217,3.202,218355
"4","Mar 22, 2022",7341.1,"7,278.50","7,377.30","7,278.50","634.67M","0.86%",2022-03-22,57556,23,"Australia",82603,39917,25788217,3.202,220233
"3","Mar 23, 2022",7377.9,"7,341.10","7,386.90","7,329.80","575.42M","0.50%",2022-03-23,59704,31,"Australia",71214,146305,25788217,3.202,221337
"2","Mar 24, 2022",7387.1,"7,377.90","7,399.40","7,356.20","633.60M","0.12%",2022-03-24,66782,33,"Australia",78602,113852,25788217,3.202,221613
"1","Mar 25, 2022",7406.2,"7,387.10","7,431.30","7,387.10","679.65M","0.26%",2022-03-25,47988,25,"Australia",84708,129628,25788217,3.202,222186
